kNN,Accuracy,Error
1,0.791666666666667,0.208333333333333
2,0.666666666666667,0.333333333333333
3,0.75,0.25
4,0.625,0.375
5,0.75,0.25
6,0.708333333333333,0.291666666666667
7,0.791666666666667,0.208333333333333
8,0.791666666666667,0.208333333333333
9,0.791666666666667,0.208333333333333
10,0.791666666666667,0.208333333333333
11,0.708333333333333,0.291666666666667
12,0.75,0.25
13,0.666666666666667,0.333333333333333
14,0.75,0.25
15,0.666666666666667,0.333333333333333
16,0.666666666666667,0.333333333333333
17,0.666666666666667,0.333333333333333
18,0.666666666666667,0.333333333333333
19,0.625,0.375
20,0.625,0.375
21,0.625,0.375
22,0.625,0.375
23,0.625,0.375
24,0.625,0.375
25,0.625,0.375
26,0.625,0.375
27,0.625,0.375
28,0.625,0.375
29,0.625,0.375
30,0.625,0.375
31,0.625,0.375
32,0.625,0.375
33,0.625,0.375
34,0.625,0.375
35,0.666666666666667,0.333333333333333
36,0.625,0.375
37,0.666666666666667,0.333333333333333
38,0.666666666666667,0.333333333333333
39,0.583333333333333,0.416666666666667
40,0.583333333333333,0.416666666666667
41,0.583333333333333,0.416666666666667
42,0.583333333333333,0.416666666666667
43,0.583333333333333,0.416666666666667
44,0.583333333333333,0.416666666666667
45,0.625,0.375
46,0.708333333333333,0.291666666666667
47,0.708333333333333,0.291666666666667
48,0.666666666666667,0.333333333333333
49,0.708333333333333,0.291666666666667
50,0.708333333333333,0.291666666666667
51,0.708333333333333,0.291666666666667
52,0.708333333333333,0.291666666666667
53,0.708333333333333,0.291666666666667
54,0.708333333333333,0.291666666666667
55,0.708333333333333,0.291666666666667
56,0.708333333333333,0.291666666666667
57,0.708333333333333,0.291666666666667
58,0.708333333333333,0.291666666666667
59,0.625,0.375
60,0.625,0.375
61,0.625,0.375
62,0.625,0.375
63,0.625,0.375
64,0.625,0.375
65,0.666666666666667,0.333333333333333
66,0.666666666666667,0.333333333333333
67,0.666666666666667,0.333333333333333
68,0.666666666666667,0.333333333333333
69,0.666666666666667,0.333333333333333
70,0.666666666666667,0.333333333333333
71,0.666666666666667,0.333333333333333
72,0.625,0.375
73,0.666666666666667,0.333333333333333
74,0.625,0.375
75,0.625,0.375
76,0.583333333333333,0.416666666666667
77,0.666666666666667,0.333333333333333
78,0.666666666666667,0.333333333333333
79,0.625,0.375
80,0.666666666666667,0.333333333333333
81,0.625,0.375
82,0.625,0.375
83,0.625,0.375
84,0.583333333333333,0.416666666666667
85,0.625,0.375
86,0.625,0.375
87,0.666666666666667,0.333333333333333
88,0.583333333333333,0.416666666666667
89,0.625,0.375
90,0.583333333333333,0.416666666666667
91,0.666666666666667,0.333333333333333
92,0.666666666666667,0.333333333333333
93,0.666666666666667,0.333333333333333
94,0.666666666666667,0.333333333333333
95,0.666666666666667,0.333333333333333
96,0.666666666666667,0.333333333333333
97,0.666666666666667,0.333333333333333
98,0.666666666666667,0.333333333333333
99,0.666666666666667,0.333333333333333
100,0.666666666666667,0.333333333333333
